scorer,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145
18,1053.582,814.35547,1.0,991.4336,720.02734,0.24401855,969.9883,648.49414,0.66845703,965.83594,574.72266,0.5649414,968.53516,477.57715,0.80322266,973.6914,433.91016,0.8066406,982.2637,276.21545,0.48754883,857.1367,586.98047,0.101135254,869.6572,584.8828,0.1385498,933.3242,791.92773,0.4494629,1028.0626,777.83984,0.47265625,798.6133,652.5835,0.86279297,835.761,590.7656,0.35253906,1136.875,608.90234,0.57470703,1085.6992,580.45483,0.7236328
19,962.3008,814.35547,0.7426758,980.6133,720.02734,0.48828125,969.9883,641.77734,0.70751953,965.83594,550.1582,0.51220703,968.53516,453.2295,0.8569336,976.69336,414.45117,0.8598633,982.2637,259.56714,0.49682617,853.03906,586.98047,0.1763916,859.39014,584.8828,0.09875488,920.27344,791.92773,0.49926758,1009.3047,773.51953,0.6123047,798.6133,580.0302,0.8666992,835.761,551.4883,0.4104004,1121.8906,603.30225,0.46875,1076.1857,579.4375,0.69970703
20,894.5137,814.35547,0.90185547,944.5156,720.02734,0.35498047,969.9883,641.08594,0.5449219,965.83594,523.25586,0.64990234,974.85547,435.1079,0.8222656,977.916,397.3789,0.85498047,983.9238,232.84766,0.49560547,853.03906,586.98047,0.050598145,854.46094,584.8828,0.08081055,920.27344,716.15125,0.4819336,998.9004,743.4258,0.4987793,798.6133,569.15625,0.8520508,835.761,534.6699,0.81152344,1121.8906,603.30225,0.79833984,1076.1857,554.68164,0.80322266
21,894.5078,797.1992,0.8769531,944.5156,698.6211,0.29418945,976.41016,595.889,0.40551758,978.7744,496.85547,0.6376953,981.2451,406.9668,0.61865234,983.1758,362.9912,0.7036133,983.9238,212.96143,0.5449219,838.5176,631.75,0.99609375,838.78516,633.03125,0.26733398,920.27344,704.91797,0.7182617,984.83984,747.0244,0.4885254,798.71875,534.50195,0.86816406,841.5137,503.03906,0.80566406,1121.8906,594.1035,0.6694336,1076.1857,550.81055,0.6870117
22,891.6355,797.1992,0.8491211,934.6504,698.6211,0.55371094,977.53516,577.1211,0.6489258,999.7363,480.8164,0.5957031,995.1631,373.27637,0.8354492,985.61523,333.02344,0.77783203,983.9238,190.28906,0.49829102,836.4519,648.2383,0.59472656,837.58984,652.3906,0.4423828,971.3281,704.91797,0.5288086,984.83984,747.0244,0.5698242,837.80273,534.50195,0.8720703,873.79297,495.1582,0.70947266,1148.2241,567.2949,0.91308594,1120.6523,520.916,0.59814453
23,883.14307,797.1992,0.97753906,934.6504,698.6211,0.37402344,986.0947,571.01807,0.36938477,1011.27734,480.8164,0.62402344,1001.1035,373.27637,0.8544922,989.1797,333.02344,0.7836914,977.3418,190.28906,0.4038086,829.91797,671.46875,0.6635742,837.58984,673.2285,0.22143555,973.50586,695.48047,0.46142578,954.1914,747.0244,0.45507812,877.6035,534.50195,0.81933594,898.60254,495.1582,0.8330078,1154.1514,567.2949,0.76416016,1139.4756,520.916,0.50634766
24,883.14307,838.7676,0.84716797,967.5,725.4043,0.32739258,986.16406,571.01807,0.34155273,1022.0957,480.8164,0.8149414,1019.29004,373.27637,0.79003906,993.4512,333.02344,0.77197266,977.3418,190.28906,0.4807129,829.91797,691.7578,0.64160156,837.58984,697.6797,0.20227051,998.40234,695.48047,0.5913086,967.4238,757.48535,0.57421875,922.4844,538.0498,0.9716797,944.34375,495.1582,0.7944336,1154.1514,567.2949,0.77978516,1139.4756,520.916,0.5541992
25,883.14307,838.7676,0.87646484,970.78125,725.4043,0.2467041,986.16406,577.1211,0.37036133,1027.8542,497.3828,0.8979492,1023.9453,392.09375,0.74316406,993.51953,354.1748,0.8989258,977.3418,211.07227,0.4868164,829.91797,699.94,0.75097656,854.21094,697.6797,0.14416504,1051.9795,695.48047,0.36523438,967.4238,757.48535,0.51708984,948.5781,552.9121,0.9301758,968.25,510.73828,0.59716797,1154.1514,580.56006,0.8833008,1139.4756,534.3164,0.4501953
26,885.7002,838.7676,0.8486328,970.78125,725.4043,0.09234619,986.16406,593.5215,0.054840088,1040.2148,501.3828,0.56152344,1026.4404,407.44727,0.3486328,993.51953,365.29492,0.7026367,977.3418,214.18945,0.54003906,844.2698,699.94,0.6323242,912.6797,706.47656,0.105651855,1057.9336,695.48047,0.3642578,1006.6758,760.7051,0.46899414,976.9922,590.8574,0.5078125,1017.6211,530.1953,0.5625,1154.1514,581.5322,0.8808594,1125.1709,534.3164,0.45043945
27,899.0918,828.49414,0.7324219,970.78125,720.91016,0.13317871,999.46094,594.48535,0.08001709,1045.4941,504.89648,0.053771973,1040.1562,412.2422,0.40405273,1004.00446,376.78125,0.72314453,975.49805,214.94531,0.5102539,880.2344,699.94,0.5859375,1031.3633,726.87695,0.42895508,1063.9492,680.4922,0.30688477,1059.9062,760.7051,0.38183594,1005.0879,637.1992,0.15539551,1056.2969,537.78125,0.24487305,1154.1514,588.53516,0.51904297,1125.1709,550.2617,0.46899414
